run_id,model,learning_rate,embedding_dim,negatives_per_positive,seed,tracking_backend
1,ncf,0.0005,32,2,13,mlflow
2,ncf,0.0005,32,2,21,mlflow
3,ncf,0.0005,32,2,42,mlflow
4,ncf,0.0005,32,4,13,mlflow
5,ncf,0.0005,32,4,21,mlflow
6,ncf,0.0005,32,4,42,mlflow
7,ncf,0.0005,32,8,13,mlflow
8,ncf,0.0005,32,8,21,mlflow
9,ncf,0.0005,32,8,42,mlflow
10,ncf,0.0005,64,2,13,mlflow
11,ncf,0.0005,64,2,21,mlflow
12,ncf,0.0005,64,2,42,mlflow
13,ncf,0.0005,64,4,13,mlflow
14,ncf,0.0005,64,4,21,mlflow
15,ncf,0.0005,64,4,42,mlflow
16,ncf,0.0005,64,8,13,mlflow
17,ncf,0.0005,64,8,21,mlflow
18,ncf,0.0005,64,8,42,mlflow
19,ncf,0.0005,128,2,13,mlflow
20,ncf,0.0005,128,2,21,mlflow
21,ncf,0.0005,128,2,42,mlflow
22,ncf,0.0005,128,4,13,mlflow
23,ncf,0.0005,128,4,21,mlflow
24,ncf,0.0005,128,4,42,mlflow
25,ncf,0.0005,128,8,13,mlflow
26,ncf,0.0005,128,8,21,mlflow
27,ncf,0.0005,128,8,42,mlflow
28,ncf,0.001,32,2,13,mlflow
29,ncf,0.001,32,2,21,mlflow
30,ncf,0.001,32,2,42,mlflow
31,ncf,0.001,32,4,13,mlflow
32,ncf,0.001,32,4,21,mlflow
33,ncf,0.001,32,4,42,mlflow
34,ncf,0.001,32,8,13,mlflow
35,ncf,0.001,32,8,21,mlflow
36,ncf,0.001,32,8,42,mlflow
37,ncf,0.001,64,2,13,mlflow
38,ncf,0.001,64,2,21,mlflow
39,ncf,0.001,64,2,42,mlflow
40,ncf,0.001,64,4,13,mlflow
41,ncf,0.001,64,4,21,mlflow
42,ncf,0.001,64,4,42,mlflow
43,ncf,0.001,64,8,13,mlflow
44,ncf,0.001,64,8,21,mlflow
45,ncf,0.001,64,8,42,mlflow
46,ncf,0.001,128,2,13,mlflow
47,ncf,0.001,128,2,21,mlflow
48,ncf,0.001,128,2,42,mlflow
49,ncf,0.001,128,4,13,mlflow
50,ncf,0.001,128,4,21,mlflow
51,ncf,0.001,128,4,42,mlflow
52,ncf,0.001,128,8,13,mlflow
53,ncf,0.001,128,8,21,mlflow
54,ncf,0.001,128,8,42,mlflow
55,ncf,0.003,32,2,13,mlflow
56,ncf,0.003,32,2,21,mlflow
57,ncf,0.003,32,2,42,mlflow
58,ncf,0.003,32,4,13,mlflow
59,ncf,0.003,32,4,21,mlflow
60,ncf,0.003,32,4,42,mlflow
61,ncf,0.003,32,8,13,mlflow
62,ncf,0.003,32,8,21,mlflow
63,ncf,0.003,32,8,42,mlflow
64,ncf,0.003,64,2,13,mlflow
65,ncf,0.003,64,2,21,mlflow
66,ncf,0.003,64,2,42,mlflow
67,ncf,0.003,64,4,13,mlflow
68,ncf,0.003,64,4,21,mlflow
69,ncf,0.003,64,4,42,mlflow
70,ncf,0.003,64,8,13,mlflow
71,ncf,0.003,64,8,21,mlflow
72,ncf,0.003,64,8,42,mlflow
73,ncf,0.003,128,2,13,mlflow
74,ncf,0.003,128,2,21,mlflow
75,ncf,0.003,128,2,42,mlflow
76,ncf,0.003,128,4,13,mlflow
77,ncf,0.003,128,4,21,mlflow
78,ncf,0.003,128,4,42,mlflow
79,ncf,0.003,128,8,13,mlflow
